Name,Industry,Sector,Headquarters,Founded,Notes
A. F. Ferguson & Co.,Financials,Asset Managers and Custodians,Karachi,1893,Accounting
Adam Motor Company,Consumer goods,Automobiles,Karachi,2001,"Automotive division defunct in 2006, only recreational & rehabilitation products are manufacturing."
Adamjee Group,Conglomerates,-,Karachi,1896,"Automobiles, chemicals, commodities, engineering, financials, industrials, pharmaceuticals, textiles"
Aero Asia,Consumer services,Airlines,Karachi,1993,"Private airline, defunct"
Air Indus,Consumer services,Airlines,Karachi,2010,Private airline
Airblue,Consumer services,Airlines,Karachi,2003,Private airline
AirSial,Consumer services,Airlines,Sialkot,2017,Private airline
Aisha Steel Mills,Basic materials,Iron and Steel,Karachi,2005[12],"Steel, owned by Arif Habib Group"
AKD Group,Conglomerates,-,Karachi,1947,"Brokerage and financial services, infrastructure, natural resources, real estate & telecom sectors"
Al-Ghazi Tractors,Industrials,Machinery: Agricultural,Karachi,1983,"Manufacturer of Italian/American CNH Industrial tractors, agricultural equipment, diesel generating sets, owned by Al-Futtaim Group (UAE)"
Al Haj FAW Motors,Consumer goods,Automobiles,Karachi,2006,"Cars & commercial vehicles manufacturer, joint venture of Al-Haj Group & FAW (China)"
Allied Bank,Financials,Banks,Lahore,1942,Commercial bank
Amreli Steels,Basic materials,Iron and Steel,Karachi,1972,Steel
Arif Habib Group,Conglomerates,-,Karachi,1970[13],"Cement, energy, fertilizer, financials, power generation, real estate, steel"
ARY Digital Network,Consumer services,Media,Karachi,2000,"Media, television, subsidiary of ARY Group (UAE)"
Ashraf Group,Conglomerates,-,Lahore,1982,"Agriculture & farming, dairy & livestock, energy, mining, real estate & sugar mills"
Askari Bank,Financials,Banks,Rawalpindi,1991,"Commercial bank, owned by Fauji Foundation"
Askari Group,Conglomerates,-,Rawalpindi,1971,"Aviation, commodities, finance, leisures, lubricants, real estate, securities, sugar"
At-Tahur,Consumer goods,Food Producers,Lahore,2007,Dairy products
Associated Group,Conglomerates,-,Lahore[14],1965,"Aviation, industrials, LPG, power, publishing"
Atlas Honda,Consumer goods,Automobiles,Karachi,1962,"Motorcycles manufacturer, joint venture of Atlas Group & Honda (Japan)"
